Booking_ID,Date,Time,Customer_ID,Driver_ID,Vehicle_ID,City,Booking_Status,Distance_km,Fare_Amount,Payment_Type
BOOK_20,2025-05-16,22:25:11,CUST_295,DRV_168,VEH_190,Ahmedabad,Completed,6.49,90.06,UPI
BOOK_21,2025-08-05,19:16:59,CUST_519,DRV_276,VEH_217,Delhi,Cancelled,13.37,162.32,UPI
BOOK_22,2025-06-09,19:10:12,CUST_287,DRV_249,VEH_25,Mumbai,Completed,3.63,76.94,UPI
BOOK_23,2025-09-13,22:52:16,CUST_20,DRV_280,VEH_293,Delhi,Completed,9.83,137.96,UPI
BOOK_24,2025-05-01,13:51:01,CUST_100,DRV_227,VEH_220,Bangalore,Completed,2.07,99.06,Card
BOOK_25,2025-06-05,21:07:34,CUST_367,DRV_37,VEH_178,Delhi,Completed,17.16,183.77,Card
BOOK_26,2025-07-12,10:47:17,CUST_100,DRV_169,VEH_223,Bangalore,Completed,14.34,156.07,UPI
BOOK_27,2025-11-11,11:32:29,CUST_30,DRV_206,VEH_293,Bangalore,Completed,2.19,98.06,UPI
BOOK_28,2025-10-04,19:51:50,CUST_437,DRV_216,VEH_40,Delhi,Completed,14.8,307.9,Card
BOOK_29,2025-09-11,23:51:38,CUST_414,DRV_198,VEH_113,Bangalore,Completed,8.26,180.22,UPI
BOOK_30,2025-10-25,08:41:06,CUST_535,DRV_161,VEH_283,Chennai,Completed,8.72,167.28,UPI
BOOK_31,2025-05-17,19:39:36,CUST_674,DRV_77,VEH_216,Mumbai,Completed,3.93,73.38,UPI
BOOK_32,2025-08-11,08:20:24,CUST_203,DRV_107,VEH_35,Mumbai,Completed,8.5,134.61,UPI
BOOK_33,2025-04-29,17:35:31,CUST_395,DRV_258,VEH_167,Bangalore,Completed,19.79,254.56,UPI
BOOK_34,2026-01-23,17:35:50,CUST_397,DRV_39,VEH_16,Delhi,Completed,7.78,209.86,UPI
BOOK_35,2026-03-21,03:59:33,CUST_578,DRV_265,VEH_215,Chennai,Completed,14.8,307.34,UPI
BOOK_36,2026-02-04,02:57:29,CUST_696,DRV_163,VEH_224,Mumbai,Completed,10.72,279.67,Cash
BOOK_37,2025-06-06,11:18:46,CUST_592,DRV_40,VEH_27,Hyderabad,Completed,12.83,140.03,Card
BOOK_38,2025-09-28,03:26:17,CUST_639,DRV_129,VEH_82,Mumbai,Completed,3.36,92.59,UPI
BOOK_39,2026-01-11,11:07:35,CUST_682,DRV_257,VEH_96,Bangalore,Completed,5.35,113.03,Cash
BOOK_40,2025-09-20,20:39:18,CUST_531,DRV_4,VEH_108,Delhi,Completed,6.5,177.02,Card
BOOK_41,2025-07-10,04:11:55,CUST_250,DRV_116,VEH_220,Mumbai,Completed,17.14,296.05,Cash
BOOK_42,2025-06-06,22:49:23,CUST_233,DRV_25,VEH_120,Hyderabad,Cancelled,13.22,291.99,UPI
BOOK_43,2025-05-13,19:03:11,CUST_685,DRV_261,VEH_266,Hyderabad,Completed,11.35,136.63,Card
BOOK_44,2025-04-24,21:19:59,CUST_231,DRV_55,VEH_205,Chennai,Cancelled,8.68,103.99,Wallet
BOOK_45,2025-09-10,22:16:35,CUST_322,DRV_194,VEH_271,Mumbai,Completed,3.96,103.16,UPI
BOOK_46,2025-05-02,19:35:26,CUST_384,DRV_30,VEH_288,Hyderabad,Completed,15.04,328.47,Cash
BOOK_47,2025-07-06,21:03:20,CUST_399,DRV_239,VEH_85,Ahmedabad,Completed,16.97,342.54,Cash
BOOK_48,2025-04-25,10:06:36,CUST_277,DRV_268,VEH_205,Delhi,Completed,4.58,148.86,Card
BOOK_49,2025-08-03,13:13:46,CUST_599,DRV_7,VEH_67,Pune,No Show,17.16,172.31,UPI
BOOK_50,2026-02-25,18:01:53,CUST_88,DRV_202,VEH_99,Delhi,Cancelled,17.13,298.81,Card
BOOK_51,2026-03-02,15:08:52,CUST_282,DRV_158,VEH_270,Mumbai,Completed,10.9,146.08,UPI
BOOK_52,2025-12-29,05:12:05,CUST_586,DRV_53,VEH_136,Kolkata,Completed,10.87,117.39,Cash
BOOK_53,2025-06-28,10:39:39,CUST_551,DRV_98,VEH_296,Delhi,Completed,15.55,333.99,UPI
BOOK_54,2025-12-13,22:56:50,CUST_89,DRV_59,VEH_123,Bangalore,Cancelled,8.86,121.8,UPI
BOOK_55,2025-07-05,21:58:18,CUST_132,DRV_66,VEH_96,Mumbai,Completed,12.97,270.34,Card
BOOK_56,2025-07-26,21:12:48,CUST_598,DRV_162,VEH_196,Mumbai,Cancelled,16.2,187.09,Cash
BOOK_57,2025-05-21,11:25:29,CUST_201,DRV_87,VEH_111,Mumbai,Completed,13.56,301.16,UPI
BOOK_58,2026-02-01,22:46:32,CUST_408,DRV_70,VEH_190,Bangalore,Completed,6.96,179.67,UPI
BOOK_59,2025-09-25,12:29:59,CUST_294,DRV_227,VEH_203,Bangalore,Completed,11.2,291.02,Wallet
BOOK_60,2025-04-17,18:28:10,CUST_688,DRV_168,VEH_106,Ahmedabad,Cancelled,14.66,305.61,UPI
BOOK_61,2025-08-24,22:28:11,CUST_291,DRV_171,VEH_85,Mumbai,Completed,5.73,110.57,Wallet
BOOK_62,2025-07-10,19:27:59,CUST_154,DRV_134,VEH_9,Ahmedabad,No Show,8.17,199.65,UPI
BOOK_63,2025-12-01,19:39:43,CUST_246,DRV_210,VEH_52,Delhi,Completed,8.29,122.42,UPI
BOOK_64,2026-02-28,05:42:41,CUST_381,DRV_24,VEH_208,Chennai,Completed,4.34,129.98,Cash
BOOK_65,2025-08-12,22:46:56,CUST_149,DRV_243,VEH_107,Kolkata,Completed,3.99,106.59,UPI
BOOK_66,2025-08-18,18:32:52,CUST_183,DRV_135,VEH_83,Delhi,No Show,4.88,105.7,Cash
BOOK_67,2025-07-08,22:05:52,CUST_184,DRV_71,VEH_248,Pune,Completed,6.45,148.59,UPI
BOOK_68,2025-09-28,17:43:43,CUST_404,DRV_64,VEH_180,Chennai,Completed,11.77,148.46,Wallet
BOOK_69,2025-04-03,05:13:56,CUST_22,DRV_111,VEH_98,Delhi,Completed,7.92,206.56,UPI
BOOK_70,2025-12-07,22:05:55,CUST_153,DRV_249,VEH_107,Hyderabad,Completed,17.79,428.88,UPI
BOOK_71,2025-11-06,22:31:38,CUST_651,DRV_83,VEH_100,Mumbai,Cancelled,19.35,186.97,UPI
BOOK_72,2025-11-18,02:39:30,CUST_373,DRV_226,VEH_89,Mumbai,Completed,3.13,107.69,UPI
BOOK_73,2025-05-25,08:08:07,CUST_335,DRV_223,VEH_155,Bangalore,Completed,2.34,96.74,Card
BOOK_74,2025-05-20,12:36:37,CUST_42,DRV_244,VEH_5,Bangalore,Completed,6.96,183.67,Card
BOOK_75,2025-05-03,17:57:07,CUST_361,DRV_58,VEH_178,Bangalore,Completed,6.78,108.53,UPI
BOOK_76,2025-05-08,01:04:36,CUST_469,DRV_221,VEH_160,Hyderabad,Completed,17.88,288.99,Cash
BOOK_77,2025-04-17,14:21:54,CUST_83,DRV_218,VEH_50,Delhi,Cancelled,19.74,249.58,UPI
BOOK_78,2026-03-17,04:37:08,CUST_557,DRV_256,VEH_267,Delhi,No Show,17.97,232.77,Cash
BOOK_79,2026-02-27,03:03:56,CUST_1,DRV_207,VEH_254,Delhi,Completed,18.57,298.27,UPI
BOOK_80,2025-11-21,10:42:45,CUST_52,DRV_243,VEH_261,Delhi,Completed,4.85,163.16,Card
BOOK_81,2025-09-20,21:51:31,CUST_124,DRV_123,VEH_208,Delhi,Completed,5.16,89.28,UPI
BOOK_82,2026-01-15,18:14:20,CUST_18,DRV_111,VEH_100,Delhi,Completed,14.35,181.04,Wallet
BOOK_83,2026-01-09,18:37:35,CUST_79,DRV_106,VEH_211,Hyderabad,Completed,10.45,139.92,Cash
BOOK_84,2026-01-29,15:48:22,CUST_550,DRV_4,VEH_36,Mumbai,Completed,6,119.91,Wallet
BOOK_85,2026-01-12,06:21:16,CUST_305,DRV_99,VEH_90,Delhi,Completed,14.11,194.76,UPI
BOOK_86,2025-06-12,19:10:59,CUST_296,DRV_58,VEH_234,Delhi,Completed,9.84,114.94,UPI
BOOK_87,2026-02-09,18:48:24,CUST_265,DRV_173,VEH_56,Mumbai,Cancelled,17.03,353.47,Card
BOOK_88,2025-08-20,20:29:11,CUST_542,DRV_240,VEH_137,Delhi,Completed,19.47,466.32,Card
BOOK_89,2025-12-16,20:45:05,CUST_29,DRV_244,VEH_245,Hyderabad,Completed,16.48,346.43,Wallet
BOOK_90,2026-02-02,22:50:23,CUST_41,DRV_39,VEH_229,Delhi,No Show,11.06,138.4,UPI
BOOK_91,2026-03-02,18:37:39,CUST_417,DRV_96,VEH_239,Ahmedabad,Completed,16.77,167.06,UPI
BOOK_92,2025-11-03,17:18:12,CUST_491,DRV_78,VEH_243,Hyderabad,Cancelled,8.72,251.59,UPI
BOOK_93,2025-08-13,09:43:34,CUST_263,DRV_179,VEH_261,Chennai,Completed,15.32,310.57,UPI
BOOK_94,2025-08-14,17:17:31,CUST_103,DRV_45,VEH_125,Bangalore,Completed,4.05,105.6,UPI
BOOK_95,2025-12-29,08:44:42,CUST_405,DRV_236,VEH_154,Hyderabad,Completed,5.63,97.16,Wallet
BOOK_96,2025-05-12,06:31:44,CUST_257,DRV_58,VEH_29,Mumbai,Completed,15.68,375.37,UPI
BOOK_97,2025-06-15,10:54:12,CUST_436,DRV_58,VEH_27,Bangalore,Completed,14.75,304.7,Card
BOOK_98,2026-03-11,21:32:44,CUST_376,DRV_34,VEH_23,Chennai,Completed,12.7,330.49,UPI
BOOK_99,2025-07-15,09:14:35,CUST_284,DRV_222,VEH_102,Bangalore,Completed,7.16,184.77,Cash
BOOK_100,2026-03-03,15:38:20,CUST_16,DRV_8,VEH_80,Mumbai,Completed,5.34,160.28,Card
BOOK_101,2025-07-01,16:09:01,CUST_130,DRV_227,VEH_155,Pune,Completed,14.18,251.17,Wallet
BOOK_102,2025-09-01,10:24:43,CUST_519,DRV_187,VEH_243,Mumbai,Completed,14.86,266.01,Card
BOOK_103,2025-05-15,17:17:39,CUST_160,DRV_166,VEH_196,Bangalore,Completed,3.75,89.25,Card
BOOK_104,2026-01-15,21:25:28,CUST_221,DRV_279,VEH_42,Mumbai,Completed,18.42,224.48,Cash
BOOK_105,2025-07-14,21:45:59,CUST_649,DRV_158,VEH_285,Bangalore,Completed,16.94,338.31,UPI
BOOK_106,2025-05-31,18:31:46,CUST_66,DRV_106,VEH_127,Bangalore,Cancelled,15.49,371.19,UPI
BOOK_107,2025-05-22,16:20:51,CUST_341,DRV_186,VEH_152,Hyderabad,Completed,11.76,254.97,UPI
BOOK_108,2025-05-09,02:42:45,CUST_629,DRV_194,VEH_88,Delhi,Completed,13.3,154.9,UPI
BOOK_109,2025-09-28,18:23:16,CUST_150,DRV_121,VEH_215,Ahmedabad,Completed,8.83,192.88,Card
BOOK_110,2025-05-24,20:01:58,CUST_542,DRV_130,VEH_43,Mumbai,Completed,3.85,122.97,Card
BOOK_111,2026-02-28,18:29:23,CUST_426,DRV_218,VEH_153,Chennai,Completed,6.86,132.43,Cash
BOOK_112,2025-07-23,06:08:06,CUST_602,DRV_186,VEH_120,Mumbai,Completed,12.73,181.56,UPI
BOOK_113,2025-07-02,13:18:29,CUST_641,DRV_57,VEH_57,Bangalore,Completed,17.81,428.4,UPI
BOOK_114,2025-04-04,14:48:21,CUST_284,DRV_181,VEH_43,Kolkata,Completed,11.75,127.82,Cash
BOOK_115,2025-10-27,01:53:54,CUST_115,DRV_118,VEH_273,Bangalore,Completed,15.49,183.38,UPI
BOOK_116,2025-05-19,22:48:14,CUST_267,DRV_280,VEH_257,Pune,Completed,8.44,133.71,UPI
BOOK_117,2025-12-24,19:38:37,CUST_494,DRV_45,VEH_296,Hyderabad,Completed,10.17,132.86,Cash
BOOK_118,2026-01-17,18:52:32,CUST_94,DRV_151,VEH_229,Delhi,Cancelled,19.01,304.92,Card
BOOK_119,2025-10-13,22:15:00,CUST_657,DRV_2,VEH_158,Bangalore,Completed,9.87,221.89,Wallet
BOOK_120,2026-03-09,09:33:18,CUST_404,DRV_258,VEH_247,Delhi,Completed,2.2,52.97,UPI
BOOK_121,2026-01-20,08:20:23,CUST_477,DRV_235,VEH_79,Kolkata,Completed,18.87,392.49,Card
BOOK_122,2025-05-29,17:24:08,CUST_512,DRV_10,VEH_84,Mumbai,Completed,2.28,73.1,Card
BOOK_123,2026-01-15,22:07:41,CUST_662,DRV_101,VEH_54,Hyderabad,Completed,9.42,124.81,UPI
BOOK_124,2025-12-21,09:43:30,CUST_542,DRV_147,VEH_168,Pune,Cancelled,6.72,184.36,Cash
BOOK_125,2026-02-05,20:49:40,CUST_472,DRV_41,VEH_115,Bangalore,Cancelled,16.62,281.28,UPI
BOOK_126,2025-10-28,01:45:10,CUST_283,DRV_7,VEH_97,Hyderabad,Cancelled,11.21,239.72,UPI
BOOK_127,2025-09-15,18:51:31,CUST_677,DRV_169,VEH_202,Hyderabad,Completed,10.33,259.1,UPI
BOOK_128,2025-08-29,06:30:21,CUST_397,DRV_226,VEH_25,Bangalore,No Show,13.4,153.2,UPI
BOOK_129,2026-01-09,18:55:48,CUST_298,DRV_68,VEH_28,Chennai,No Show,16.24,286.9,Wallet
BOOK_130,2025-11-02,22:38:28,CUST_78,DRV_237,VEH_182,Bangalore,Cancelled,16.9,337.62,UPI
BOOK_131,2025-07-14,20:59:28,CUST_698,DRV_175,VEH_248,Kolkata,Completed,5.66,176.97,UPI
BOOK_132,2025-04-04,17:18:39,CUST_517,DRV_268,VEH_138,Pune,Completed,17.36,414.39,UPI
BOOK_133,2025-11-21,20:42:43,CUST_249,DRV_263,VEH_203,Bangalore,Completed,9.35,226.54,UPI
BOOK_134,2025-08-20,20:08:20,CUST_671,DRV_225,VEH_179,Bangalore,Completed,14.49,236.07,Card
BOOK_135,2025-05-23,18:31:02,CUST_617,DRV_157,VEH_76,Mumbai,Completed,16.23,258.37,Cash
BOOK_136,2025-10-08,22:26:23,CUST_31,DRV_252,VEH_281,Mumbai,Completed,11.15,243.82,Card
BOOK_137,2025-07-01,09:45:46,CUST_265,DRV_67,VEH_36,Mumbai,Completed,16.98,342.76,UPI
BOOK_138,2025-12-06,16:51:39,CUST_267,DRV_115,VEH_264,Chennai,Completed,6.56,196.1,Cash
BOOK_139,2026-03-07,13:52:07,CUST_562,DRV_62,VEH_264,Bangalore,Completed,18.39,446.69,UPI
BOOK_140,2025-06-22,10:59:57,CUST_5,DRV_244,VEH_227,Delhi,Completed,9.62,204.87,UPI
BOOK_141,2025-05-28,20:07:01,CUST_501,DRV_180,VEH_17,Ahmedabad,Completed,9.67,228.02,Cash
BOOK_142,2026-03-28,01:40:51,CUST_540,DRV_158,VEH_162,Pune,Completed,16.37,338.3,Card
BOOK_143,2025-11-25,09:38:45,CUST_386,DRV_176,VEH_50,Hyderabad,No Show,14.1,298.46,UPI
BOOK_144,2025-05-03,22:24:35,CUST_141,DRV_141,VEH_161,Hyderabad,Cancelled,14.27,241.63,UPI
BOOK_145,2025-06-01,02:43:56,CUST_430,DRV_200,VEH_168,Bangalore,Completed,11.13,137.34,Cash
BOOK_146,2026-01-06,12:34:41,CUST_571,DRV_110,VEH_236,Delhi,Completed,11.24,140.47,UPI
BOOK_147,2026-03-07,11:40:51,CUST_363,DRV_47,VEH_22,Delhi,Completed,12.28,153.13,UPI
BOOK_148,2025-08-15,18:09:01,CUST_21,DRV_181,VEH_193,Mumbai,Completed,16.86,335.35,Cash
BOOK_149,2025-12-20,21:44:58,CUST_106,DRV_19,VEH_42,Hyderabad,Completed,6,112.61,UPI
BOOK_150,2025-09-20,18:51:57,CUST_452,DRV_7,VEH_87,Pune,Completed,18.01,439.6,Cash
BOOK_151,2025-07-22,17:18:57,CUST_439,DRV_81,VEH_161,Pune,Completed,13.45,171.69,UPI
BOOK_152,2025-09-23,14:08:34,CUST_149,DRV_62,VEH_85,Delhi,Completed,14.03,285,UPI
BOOK_153,2025-04-15,16:34:20,CUST_195,DRV_52,VEH_214,Mumbai,Completed,15.32,153.04,Cash
BOOK_154,2026-02-28,07:44:45,CUST_685,DRV_247,VEH_257,Ahmedabad,Completed,13.55,166.42,UPI
BOOK_155,2025-11-08,21:45:56,CUST_37,DRV_6,VEH_241,Ahmedabad,Completed,9.6,127.78,Cash
BOOK_156,2025-07-14,10:53:16,CUST_435,DRV_4,VEH_219,Kolkata,Completed,10.52,135.48,Card
BOOK_157,2026-02-09,03:41:14,CUST_123,DRV_125,VEH_9,Mumbai,Completed,10.99,286.19,UPI
BOOK_158,2025-05-19,18:39:39,CUST_478,DRV_15,VEH_63,Ahmedabad,No Show,9.3,225.49,UPI
BOOK_159,2025-10-20,23:29:39,CUST_194,DRV_119,VEH_53,Hyderabad,Completed,2.27,91.08,Cash
BOOK_160,2025-09-03,18:25:05,CUST_656,DRV_272,VEH_179,Delhi,Completed,5.92,160.61,Card
BOOK_161,2025-04-07,21:08:26,CUST_419,DRV_117,VEH_100,Delhi,Completed,8.67,187.37,Cash
BOOK_162,2025-06-15,08:22:19,CUST_76,DRV_58,VEH_53,Bangalore,Completed,3.77,86,UPI
BOOK_163,2025-09-04,18:20:54,CUST_536,DRV_211,VEH_42,Chennai,Completed,9.82,181.43,Wallet
BOOK_164,2025-04-03,22:11:52,CUST_602,DRV_215,VEH_237,Chennai,Completed,19.54,187.85,Card
BOOK_165,2025-09-03,19:34:47,CUST_22,DRV_39,VEH_38,Pune,Completed,4.55,82.08,Cash
BOOK_166,2025-06-25,18:38:29,CUST_621,DRV_206,VEH_124,Bangalore,Completed,13.62,242.85,Cash
BOOK_167,2025-08-17,22:10:05,CUST_91,DRV_280,VEH_278,Hyderabad,Completed,12.66,141.69,Cash
BOOK_168,2025-07-18,19:23:00,CUST_518,DRV_181,VEH_9,Hyderabad,Completed,3.3,128.89,UPI
BOOK_169,2025-08-11,15:28:31,CUST_660,DRV_107,VEH_121,Mumbai,Completed,3.53,87.61,Card
BOOK_170,2026-01-13,22:38:38,CUST_423,DRV_224,VEH_77,Hyderabad,Completed,7.22,193.99,UPI
BOOK_171,2026-03-16,17:11:57,CUST_380,DRV_65,VEH_181,Mumbai,Completed,10.31,283.61,Card
BOOK_172,2025-08-05,16:12:52,CUST_63,DRV_128,VEH_150,Mumbai,Completed,14.61,148.28,UPI
BOOK_173,2025-06-18,21:33:17,CUST_30,DRV_4,VEH_276,Bangalore,Completed,15.71,269.08,Cash
BOOK_174,2025-05-18,18:47:41,CUST_562,DRV_145,VEH_85,Mumbai,Completed,17.65,420.97,UPI
BOOK_175,2026-01-29,21:40:22,CUST_201,DRV_6,VEH_295,Delhi,Completed,13.55,151.08,UPI
BOOK_176,2025-12-29,19:18:31,CUST_542,DRV_12,VEH_274,Mumbai,Completed,19.11,209.87,UPI
BOOK_177,2025-04-16,23:07:29,CUST_582,DRV_262,VEH_74,Chennai,Completed,10.1,131.64,Card
BOOK_178,2026-02-13,20:54:56,CUST_422,DRV_143,VEH_106,Pune,Cancelled,18.34,378.3,Cash
BOOK_179,2025-07-12,08:44:37,CUST_363,DRV_64,VEH_169,Chennai,Completed,12.48,139.99,Cash
BOOK_180,2026-01-15,14:48:16,CUST_227,DRV_216,VEH_203,Chennai,Completed,12.39,181.95,Card
BOOK_181,2026-03-01,02:07:22,CUST_183,DRV_214,VEH_300,Pune,Cancelled,2.14,69.49,Cash
BOOK_182,2025-10-07,10:14:03,CUST_86,DRV_163,VEH_256,Mumbai,Completed,8.4,190.15,Card
BOOK_183,2025-08-01,20:41:34,CUST_166,DRV_123,VEH_10,Bangalore,Completed,9.37,127.28,UPI
BOOK_184,2025-09-15,03:16:55,CUST_453,DRV_1,VEH_101,Hyderabad,Completed,9.47,117.01,UPI
BOOK_185,2025-07-21,22:05:16,CUST_535,DRV_28,VEH_124,Mumbai,Completed,3.28,86.43,Cash
BOOK_186,2025-09-22,19:49:10,CUST_647,DRV_44,VEH_92,Chennai,Completed,18.86,305.64,Wallet
BOOK_187,2025-05-23,19:13:52,CUST_502,DRV_65,VEH_284,Mumbai,Completed,9.74,128.84,Card
BOOK_188,2025-08-30,19:11:49,CUST_377,DRV_170,VEH_133,Hyderabad,Completed,6.85,126.75,Card
BOOK_189,2025-08-01,22:30:47,CUST_238,DRV_163,VEH_174,Ahmedabad,Completed,10.11,267.02,UPI
BOOK_190,2025-04-15,08:59:42,CUST_23,DRV_240,VEH_108,Bangalore,Completed,8.43,189.99,Cash
BOOK_191,2025-06-02,19:12:54,CUST_558,DRV_25,VEH_252,Bangalore,Completed,3.04,94.22,Card
BOOK_192,2025-10-10,21:23:07,CUST_208,DRV_8,VEH_169,Mumbai,Completed,8.07,197.13,Card
BOOK_193,2025-07-02,21:19:51,CUST_118,DRV_127,VEH_214,Bangalore,Completed,6.15,90.31,UPI
BOOK_194,2025-05-20,22:45:44,CUST_83,DRV_17,VEH_32,Hyderabad,Completed,7.56,106.44,Wallet
BOOK_195,2026-01-21,10:09:40,CUST_506,DRV_263,VEH_195,Mumbai,No Show,12.66,150.88,Wallet
BOOK_196,2025-04-19,22:43:01,CUST_224,DRV_180,VEH_164,Delhi,Completed,18,213.34,UPI
BOOK_197,2025-06-25,02:40:57,CUST_473,DRV_31,VEH_133,Mumbai,Cancelled,8.77,179.69,UPI
BOOK_198,2026-02-11,21:35:56,CUST_448,DRV_273,VEH_13,Mumbai,Completed,16.29,277.23,UPI
BOOK_199,2025-12-04,19:16:38,CUST_398,DRV_209,VEH_241,Ahmedabad,Completed,14.07,363.27,UPI
BOOK_200,2026-02-15,19:28:42,CUST_35,DRV_8,VEH_134,Bangalore,Completed,2.35,82.4,Card
BOOK_201,2025-10-01,23:21:59,CUST_633,DRV_60,VEH_75,Mumbai,Completed,3.54,109.67,Cash
BOOK_202,2025-04-30,03:33:54,CUST_236,DRV_192,VEH_5,Bangalore,Completed,19.49,253.63,UPI
BOOK_203,2025-07-21,21:08:29,CUST_390,DRV_56,VEH_32,Delhi,Completed,17.59,179.97,Card
BOOK_204,2025-09-13,10:40:10,CUST_105,DRV_61,VEH_106,Ahmedabad,Completed,14.81,324.86,Wallet
BOOK_205,2026-01-19,19:50:36,CUST_528,DRV_236,VEH_64,Ahmedabad,No Show,4.72,92.89,UPI
BOOK_206,2025-09-16,20:55:41,CUST_207,DRV_147,VEH_212,Hyderabad,Completed,3.54,62.22,UPI
BOOK_207,2026-03-07,11:55:29,CUST_103,DRV_133,VEH_153,Bangalore,Completed,7.79,175.19,UPI
BOOK_208,2025-11-09,20:52:30,CUST_352,DRV_137,VEH_193,Delhi,Completed,14.22,357.08,Card
BOOK_209,2025-05-28,11:16:43,CUST_256,DRV_153,VEH_20,Bangalore,Completed,19.71,213.79,Cash
BOOK_210,2025-07-22,09:50:00,CUST_483,DRV_185,VEH_138,Chennai,Completed,6.68,173.3,UPI
BOOK_211,2025-12-17,19:20:40,CUST_573,DRV_174,VEH_210,Delhi,Completed,11.55,301.79,UPI
BOOK_212,2025-11-12,12:35:08,CUST_655,DRV_267,VEH_254,Kolkata,Completed,11.47,262.45,UPI
BOOK_213,2026-03-15,19:06:36,CUST_453,DRV_257,VEH_71,Mumbai,Completed,9.62,181.02,Card
BOOK_214,2025-04-13,18:54:41,CUST_642,DRV_157,VEH_173,Kolkata,Completed,18.67,316.06,Cash
BOOK_215,2025-09-23,20:26:32,CUST_325,DRV_200,VEH_281,Delhi,Completed,19.37,188.1,UPI
BOOK_216,2025-04-09,13:19:35,CUST_546,DRV_121,VEH_196,Chennai,Completed,10.61,198.31,UPI
BOOK_217,2026-01-13,17:12:00,CUST_513,DRV_32,VEH_257,Bangalore,Completed,11.44,239.67,UPI
BOOK_218,2025-08-08,09:27:46,CUST_87,DRV_57,VEH_60,Kolkata,Completed,7.62,226.84,UPI
BOOK_219,2025-06-17,22:14:07,CUST_476,DRV_129,VEH_212,Delhi,Completed,11.12,190.33,UPI
BOOK_220,2025-04-03,22:06:03,CUST_156,DRV_163,VEH_68,Delhi,Completed,2.31,71.63,Wallet
BOOK_221,2025-07-12,22:23:15,CUST_599,DRV_177,VEH_292,Chennai,Completed,2.66,84.64,Card
BOOK_222,2025-12-10,19:59:27,CUST_75,DRV_186,VEH_145,Kolkata,Completed,9.06,211.23,UPI
BOOK_223,2026-01-14,20:07:53,CUST_191,DRV_260,VEH_161,Bangalore,Completed,19.75,320.46,Cash
BOOK_224,2026-02-01,14:50:46,CUST_300,DRV_269,VEH_134,Hyderabad,Completed,18.32,446.65,Card
BOOK_225,2025-05-05,11:49:47,CUST_369,DRV_204,VEH_274,Mumbai,Completed,4.73,162.39,Card
BOOK_226,2025-08-11,21:18:41,CUST_77,DRV_258,VEH_175,Hyderabad,Completed,3.93,67.89,UPI
BOOK_227,2025-10-28,06:22:36,CUST_539,DRV_159,VEH_186,Kolkata,Completed,5.02,141.05,UPI
BOOK_228,2026-03-30,11:04:45,CUST_409,DRV_51,VEH_57,Mumbai,Cancelled,3.67,69.18,Cash
BOOK_229,2025-05-29,10:31:46,CUST_632,DRV_47,VEH_38,Mumbai,Cancelled,10.54,288.43,Card
BOOK_230,2025-05-01,06:32:29,CUST_377,DRV_246,VEH_291,Delhi,Completed,10.38,202.42,UPI
BOOK_231,2026-03-28,17:22:55,CUST_509,DRV_270,VEH_91,Mumbai,Completed,4.52,106.62,UPI
